Date,Dawn,Dusk,Moonrise,Moonset,Moon Phase (%)
2024-11-10,2024-11-10 07:12:37,2024-11-10 16:15:41,2024-11-10 14:15:36,2024-11-11 00:49:24,58.4
2024-11-11,2024-11-11 07:14:22,2024-11-11 16:14:10,2024-11-11 14:28:44,2024-11-11 00:49:24,69.3
2024-11-12,2024-11-12 07:16:07,2024-11-12 16:12:41,2024-11-12 14:41:11,2024-11-12 02:16:24,79.5
2024-11-13,2024-11-13 07:17:51,2024-11-13 16:11:14,2024-11-13 14:54:24,2024-11-13 03:45:02,88.2
2024-11-14,2024-11-14 07:19:35,2024-11-14 16:09:50,2024-11-14 15:10:02,2024-11-14 05:16:35,94.8
2024-11-15,2024-11-15 07:21:18,2024-11-15 16:08:28,2024-11-15 15:30:26,2024-11-15 06:51:12,98.8
2024-11-16,2024-11-16 07:23:00,2024-11-16 16:07:08,2024-11-16 15:59:14,2024-11-16 08:26:06,99.9
2024-11-17,2024-11-17 07:24:42,2024-11-17 16:05:50,2024-11-17 16:41:12,2024-11-17 09:54:12,98.1
2024-11-18,2024-11-18 07:26:23,2024-11-18 16:04:35,2024-11-18 17:39:56,2024-11-18 11:06:15,93.7
2024-11-19,2024-11-19 07:28:03,2024-11-19 16:03:23,2024-11-19 18:53:04,2024-11-19 11:57:56,87.3
2024-11-20,2024-11-20 07:29:43,2024-11-20 16:02:13,2024-11-20 20:12:52,2024-11-20 12:32:26,79.2
2024-11-21,2024-11-21 07:31:21,2024-11-21 16:01:05,2024-11-21 21:32:30,2024-11-21 12:55:37,70.1
2024-11-22,2024-11-22 07:32:59,2024-11-22 16:00:01,2024-11-22 22:48:51,2024-11-22 13:12:02,60.5
2024-11-23,2024-11-23 07:34:35,2024-11-23 15:58:59,2024-11-24 00:01:38,2024-11-23 13:24:34,50.7
2024-11-24,2024-11-24 07:36:10,2024-11-24 15:58:00,2024-11-24 00:01:38,2024-11-24 13:34:57,41.1
2024-11-25,2024-11-25 07:37:44,2024-11-25 15:57:03,2024-11-25 01:11:54,2024-11-25 13:44:22,32.0
2024-11-26,2024-11-26 07:39:16,2024-11-26 15:56:10,2024-11-26 02:21:09,2024-11-26 13:53:46,23.6
2024-11-27,2024-11-27 07:40:47,2024-11-27 15:55:19,2024-11-27 03:30:55,2024-11-27 14:04:02,16.1
2024-11-28,2024-11-28 07:42:17,2024-11-28 15:54:32,2024-11-28 04:42:31,2024-11-28 14:16:15,9.8
2024-11-29,2024-11-29 07:43:45,2024-11-29 15:53:47,2024-11-29 05:56:37,2024-11-29 14:31:57,4.9
2024-11-30,2024-11-30 07:45:11,2024-11-30 15:53:06,2024-11-30 07:12:37,2024-11-30 14:53:27,1.7
2024-12-01,2024-12-01 07:46:35,2024-12-01 15:52:28,2024-12-01 08:27:40,2024-12-01 15:24:12,0.2
2024-12-02,2024-12-02 07:47:58,2024-12-02 15:51:52,2024-12-02 09:36:22,2024-12-02 16:08:24,0.7
2024-12-03,2024-12-03 07:49:18,2024-12-03 15:51:21,2024-12-03 10:32:49,2024-12-03 17:08:39,3.3
2024-12-04,2024-12-04 07:50:36,2024-12-04 15:50:52,2024-12-04 11:14:46,2024-12-04 18:22:51,7.9
2024-12-05,2024-12-05 07:51:53,2024-12-05 15:50:26,2024-12-05 11:44:29,2024-12-05 19:45:06,14.4
2024-12-06,2024-12-06 07:53:07,2024-12-06 15:50:04,2024-12-06 12:05:48,2024-12-06 21:09:54,22.6
2024-12-07,2024-12-07 07:54:18,2024-12-07 15:49:46,2024-12-07 12:21:59,2024-12-07 22:34:29,32.3
2024-12-08,2024-12-08 07:55:27,2024-12-08 15:49:30,2024-12-08 12:35:20,2024-12-08 23:58:31,42.9
2024-12-09,2024-12-09 07:56:34,2024-12-09 15:49:18,2024-12-09 12:47:29,2024-12-10 01:23:05,54.1
2024-12-10,2024-12-10 07:57:38,2024-12-10 15:49:10,2024-12-10 12:59:47,2024-12-10 01:23:05,65.3
2024-12-11,2024-12-11 07:58:40,2024-12-11 15:49:04,2024-12-11 13:13:43,2024-12-11 02:49:46,75.8
2024-12-12,2024-12-12 07:59:38,2024-12-12 15:49:03,2024-12-12 13:31:11,2024-12-12 04:19:39,85.0
2024-12-12,2024-12-12 07:16:56,2024-12-12 16:31:48,2024-12-13 13:55:04,2024-12-13 05:52:04,89.6
2024-12-12,2024-12-12 07:16:56,2024-12-12 16:31:48,2024-12-13 13:55:04,2024-12-13 05:52:04,89.6
